grantee,url,amount,date,cause_area,cause_area_url,notes
Marin Theatre Company,https://www.hewlett.org/grants/marin-theatre-company-for-general-operating-support-0/,"$165,000","July 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Lobster Theater Project,https://www.hewlett.org/grants/lobster-theater-project-for-general-operating-support-1/,"$20,000","July 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
United Nations Foundation,https://www.hewlett.org/grants/united-nations-foundation-for-continuation-of-data2x-including-big-data-pilots/,"$500,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,"for continuation of Data2X, including big data pilots"
Bridgespan Group,https://www.hewlett.org/grants/bridgespan-group-for-general-operating-support-1/,"$500,000","July 14, 2014",Philanthropy,,for general operating support
Partnership for a Secure America,https://www.hewlett.org/grants/partnership-for-a-secure-america-for-support-of-a-pilot-project-training-legislative-staff-in-negotiation-rules-and-processes/,"$175,000","July 14, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for support of a pilot project training legislative staff in negotiation rules and processes
Oxford University,https://www.hewlett.org/grants/oxford-university-for-research-on-gender-inequalities-during-transition-to-adulthood-in-young-lives/,"$500,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for research on gender inequalities during transition to adulthood in Young Lives
MannionDaniels Limited,https://www.hewlett.org/grants/manniondaniels-limited-for-support-to-manage-the-civil-society-fund-for-sexual-and-reproductive-health-and-rights/,"$500,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support to manage the Civil Society Fund for Sexual and Reproductive Health and Rights
"Global Health Corps, Inc.",https://www.hewlett.org/grants/global-health-corps-inc-for-support-of-reproductive-health-fellowships/,"$500,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of reproductive health fellowships
Overseas Development Institute,https://www.hewlett.org/grants/overseas-development-institute-for-a-report-to-contribute-to-the-policy-debate-on-economic-effects-of-unpaid-care-work/,"$250,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a report to contribute to the policy debate on economic effects of unpaid care work
"Third Sector Capital Partners, Inc.",https://www.hewlett.org/grants/third-sector-capital-partners-inc-for-general-operating-support/,"$100,000","July 14, 2014",Philanthropy,,for general operating support
"Centro de Investigación Económica y Presupuestaria, A.C.",https://www.hewlett.org/grants/centro-de-investigacion-economica-y-presupuestaria-a-c-for-a-project-to-develop-an-online-tool-to-simulate-changes-in-tax-policy-in-mexico-1/,"$250,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a project to develop an online tool to simulate changes in tax policy in Mexico
Palo Alto Art Center Foundation,https://www.hewlett.org/grants/palo-alto-art-center-foundation-for-general-operating-support-0/,"$75,000","July 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
92nd Street Y,https://www.hewlett.org/grants/92nd-street-y-for-giving-tuesday-a-new-national-holiday-to-encourage-giving-back/,"$50,000","July 14, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,"for Giving Tuesday, a new national holiday to encourage giving back"
Carnegie Endowment for International Peace,https://www.hewlett.org/grants/carnegie-endowment-for-international-peace-for-a-project-to-survey-interest-in-developing-norms-for-cyber-warfare/,"$150,000","July 14, 2014",Cyber,https://www.hewlett.org/programs/cyber/,for a project to survey interest in developing norms for cyber warfare
Cerritos College Foundation,https://www.hewlett.org/grants/cerritos-college-foundation-for-the-development-and-adoption-of-the-myopenmath-platform-in-community-colleges/,"$330,000","July 14, 2014",Education,https://www.hewlett.org/programs/education/,for the development and adoption of the MyOpenMath platform in community colleges
Nature Conservancy,https://www.hewlett.org/grants/nature-conservancy-for-the-building-a-conservation-ethic-in-western-united-states-program-1/,"$500,000","July 14, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Building a Conservation Ethic in Western United States Program
PlayGround,https://www.hewlett.org/grants/playground-for-general-operating-support-0/,"$75,000","July 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
ShadowLight Productions,https://www.hewlett.org/grants/shadowlight-productions-for-general-operating-support-0/,"$60,000","July 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Women Thrive Worldwide,https://www.hewlett.org/grants/women-thrive-worldwide-for-general-support-0/,"$900,000","July 14, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general support
Center for a New American Security,https://www.hewlett.org/grants/center-for-a-new-american-security-for-a-project-on-cyber-strategy-community-building/,"$380,000","July 14, 2014",Cyber,https://www.hewlett.org/programs/cyber/,for a project on cyber strategy community building
Boston College,https://www.hewlett.org/grants/boston-college-for-the-promoting-meaningful-reform-in-philanthropy-conference/,"$10,000","July 14, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,for the Promoting Meaningful Reform in Philanthropy conference
San Francisco Parks Alliance,https://www.hewlett.org/grants/san-francisco-parks-alliance-for-the-blue-greenway-project-0/,"$300,000","July 7, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Blue Greenway project
Environmental Defense Fund,https://www.hewlett.org/grants/environmental-defense-fund-for-the-path-to-a-low-carbon-future-natural-gas-at-the-crossroads-project/,"$3,000,000","July 7, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Path to a Low-Carbon Future: Natural Gas at the Crossroads project
Larkin Street Youth Services,https://www.hewlett.org/grants/larkin-street-youth-services-for-the-3rd-street-youth-center-and-clinic-2/,"$210,000","June 26, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the 3rd Street Youth Center and Clinic
National Association for the Advancement of Colored People,https://www.hewlett.org/grants/national-association-for-the-advancement-of-colored-people-for-the-environmental-and-climate-justice-program-0/,"$350,000","June 26, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Environmental and Climate Justice Program
"Campaign Legal Center, Inc.",https://www.hewlett.org/grants/campaign-legal-center-inc-for-support-in-hiring-an-executive-director-for-a-new-campaign-finance-reform-entity/,"$30,000","June 24, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for support in hiring an executive director for a new campaign finance reform entity
Center for American Progress,https://www.hewlett.org/grants/center-for-american-progress-for-research-on-models-of-school-accountability-system-reform/,"$50,000","June 20, 2014",Education,https://www.hewlett.org/programs/education/,for research on models of school accountability system reform
East Bay Performing Arts,https://www.hewlett.org/grants/east-bay-performing-arts-for-strategic-planning/,"$48,250","June 19, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for strategic planning
Firelight Foundation,https://www.hewlett.org/grants/firelight-foundation-for-support-of-the-international-education-funders-group/,"$30,000","June 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the International Education Funders Group
Firelight Foundation,https://www.hewlett.org/grants/firelight-foundation-for-strengthening-monitoring-and-evaluation-systems/,"$30,000","June 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for strengthening monitoring and evaluation systems
Centre for Policy Dialogue,https://www.hewlett.org/grants/centre-for-policy-dialogue-for-a-project-to-test-post-2015-indicator-feasibility-and-inform-post-2015-framework-development/,"$63,136","June 16, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a project to test post-2015 indicator feasibility and inform post-2015 framework development
Clean Energy Project,https://www.hewlett.org/grants/clean-energy-project-for-the-nevada-climate-coalition/,"$150,000","June 14, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Nevada Climate Coalition
Movimiento de Arte y Cultura Latino Americana,https://www.hewlett.org/grants/movimiento-de-arte-y-cultura-latino-americana-for-capital-campaign-planning/,"$50,000","June 14, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for capital campaign planning
George Mason University Foundation,https://www.hewlett.org/grants/george-mason-university-foundation-for-research-on-the-impacts-of-us-food-aid-reform-on-the-shipping-industry/,"$110,987","June 12, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for research on the impacts of US food aid reform on the shipping industry
Carnegie Endowment for International Peace,https://www.hewlett.org/grants/carnegie-endowment-for-international-peace-for-the-carnegie-global-oil-initiative/,"$400,000","June 12, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Carnegie Global Oil Initiative
Energy Foundation,https://www.hewlett.org/grants/energy-foundation-for-support-of-the-energy-foundation-china/,"$3,600,000","June 12, 2014",Environment,https://www.hewlett.org/programs/environment/,for support of the Energy Foundation China
Horizons Foundation,https://www.hewlett.org/grants/horizons-foundation-for-a-fundraising-plan-and-a-web-site-update/,"$40,000","June 10, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for a fundraising plan and a web site update
Dance Palace,https://www.hewlett.org/grants/dance-palace-for-a-fundraising-consultant-following-the-2013-2014-strategic-planning-effort/,"$5,000","June 10, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for a fundraising consultant following the 2013-2014 strategic planning effort
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-the-western-energy-project-5/,"$150,000","June 10, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Western Energy Project
Grantmakers in the Arts,https://www.hewlett.org/grants/grantmakers-in-the-arts-for-a-report-on-foundation-funding-for-arts-education/,"$20,000","June 10, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for a report on foundation funding for arts education
Equis Justicia para las Mujeres,https://www.hewlett.org/grants/equis-justicia-para-las-mujeres-for-strategic-planning/,"$4,000","June 9, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for strategic planning
European Climate Foundation,https://www.hewlett.org/grants/european-climate-foundation-for-the-road-transport-fuels-and-shipping-program/,"$900,000","June 8, 2014",Environment,https://www.hewlett.org/programs/environment/,"For the Road Transport, Fuels, and Shipping Program"
Living Jazz,https://www.hewlett.org/grants/living-jazz-for-board-facilitation/,"$5,000","June 5, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for board facilitation
Living Jazz,https://www.hewlett.org/grants/living-jazz-for-board-facilitation/,"$5,000","June 5, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for board facilitation
United States Agency for International Development,https://www.hewlett.org/grants/united-states-agency-for-international-development-for-a-conference-to-elevate-attention-and-research-on-the-goal-of-eliminating-extreme-poverty/,"$200,000","June 4, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a conference to elevate attention and research on the goal of eliminating extreme poverty
Great Plains Institute for Sustainable Development,https://www.hewlett.org/grants/great-plains-institute-for-sustainable-development-for-general-operating-support-0/,"$250,000","May 30, 2014",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Western Resource Advocates,https://www.hewlett.org/grants/western-resource-advocates-for-support-of-the-compliance-pathways-and-opportunities-for-state-of-montana-project/,"$59,000","May 30, 2014",Environment,https://www.hewlett.org/programs/environment/,for support of the Compliance Pathways and Opportunities for State of Montana project
Maplight,https://www.hewlett.org/grants/maplight-for-support-of-voters-edge-providing-candidate-and-ballot-information-to-educate-voters/,"$200,000","May 29, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,"for support of Voters Edge, providing candidate and ballot information to educate voters"
Resources Legacy Fund,https://www.hewlett.org/grants/resources-legacy-fund-for-the-san-francisco-bay-public-education-campaign/,"$400,000","May 29, 2014",Environment,https://www.hewlett.org/programs/environment/,for the San Francisco Bay Public Education Campaign
City of San Jose,https://www.hewlett.org/grants/city-of-san-jose-for-the-office-of-cultural-affairs-capacity-building-project-with-devos-institute/,"$50,000","May 29, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for the Office of Cultural Affairs' capacity building project with DeVos Institute
City Lights Theater Company of San Jose,https://www.hewlett.org/grants/city-lights-theater-company-of-san-jose-for-organizational-planning/,"$30,000","May 27, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for organizational planning
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-support-of-the-media-democracy-fund/,"$400,000","May 20, 2014",Cyber,https://www.hewlett.org/programs/cyber/,for support of the Media Democracy Fund
Partnership Project,https://www.hewlett.org/grants/partnership-project-for-the-climate-action-campaign-0/,"$2,535,000","May 20, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Climate Action Campaign
Bulletin of the Atomic Scientists,https://www.hewlett.org/grants/bulletin-of-the-atomic-scientists-for-updated-digital-publishing-strategy/,"$55,000","May 20, 2014",Initiatives,,for updated digital publishing strategy
World Resources Institute,https://www.hewlett.org/grants/world-resources-institute-for-modeling-and-analysis-of-the-2030-u-s-climate-targets/,"$210,000","May 20, 2014",Environment,https://www.hewlett.org/programs/environment/,for modeling and analysis of the 2030 U.S. climate targets
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-support-of-the-media-democracy-fund/,"$400,000","May 20, 2014",Cyber,https://www.hewlett.org/programs/cyber/,for support of the Media Democracy Fund
Pratham USA,https://www.hewlett.org/grants/pratham-usa-for-developing-a-communications-strategy-for-fundraising/,"$35,000","May 8, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for developing a communications strategy for fundraising
Natural Resources Defense Council,https://www.hewlett.org/grants/natural-resources-defense-council-for-the-northwest-natural-gas-project-0/,"$579,000","May 6, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Northwest Natural Gas Project
New York University,https://www.hewlett.org/grants/new-york-university-for-support-of-the-institute-for-policy-integrity-0/,"$200,000","May 6, 2014",Environment,https://www.hewlett.org/programs/environment/,for support of the Institute for Policy Integrity
No Labels Foundation,https://www.hewlett.org/grants/no-labels-foundation-for-support-of-no-labels-to-hire-a-public-speaking-coach-to-improve-staff-presentation-skills/,"$12,000","May 2, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for support of No Labels to hire a public speaking coach to improve staff presentation skills
Center for Responsive Politics,https://www.hewlett.org/grants/center-for-responsive-politics-for-strategic-planning/,"$30,000","May 2, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for strategic planning
"Derechos Infancia México, A.C.",https://www.hewlett.org/grants/derechos-infancia-mexico-a-c-for-a-project-to-promote-childrens-rights-to-clean-air-through-social-participation-1/,"$160,800","April 30, 2014",Environment,https://www.hewlett.org/programs/environment/,for a project to promote childrens' rights to clean air through social participation
Greenlining Institute,https://www.hewlett.org/grants/greenlining-institute-for-a-capital-campaign-to-renovate-and-occupy-the-new-greenlining-headquarters-in-downtown-oakland/,"$250,000","April 28, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,for a capital campaign to renovate and occupy the new Greenlining headquarters in downtown Oakland
Independent Sector,https://www.hewlett.org/grants/independent-sector-to-support-a-strategic-planning-and-visioning-exercise/,"$150,000","April 27, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,to support a strategic planning and visioning exercise
Social Science Research Council,https://www.hewlett.org/grants/social-science-research-council-for-fund-development-planning/,"$20,000","April 23, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for fund development planning
National Council of Nonprofits,https://www.hewlett.org/grants/national-council-of-nonprofits-for-it-website-and-communication-planning/,"$25,000","April 23, 2014",Philanthropy,,for IT website and communication planning
San Francisco Symphony,https://www.hewlett.org/grants/san-francisco-symphony-for-contract-negotiation-facilitation/,"$25,000","April 23, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for contract negotiation facilitation
Bipartisan Policy Center,https://www.hewlett.org/grants/bipartisan-policy-center-for-strategic-and-business-model-planning/,"$300,000","April 23, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for strategic and business model planning
Clean Air Task Force,https://www.hewlett.org/grants/clean-air-task-force-for-general-operating-support-0/,"$2,000,000","April 18, 2014",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Johns Hopkins University,https://www.hewlett.org/grants/johns-hopkins-university-for-support-of-a-new-book-on-the-field-of-political-consulting-building-a-business-of-politics/,"$28,000","April 14, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,for support of a new book on the field of political consulting: Building a Business of Politics
Environmental Health Coalition,https://www.hewlett.org/grants/environmental-health-coalition-for-california-environmental-justice-alliances-communications-strategy-implementation/,"$20,000","April 14, 2014",Environment,https://www.hewlett.org/programs/environment/,for California Environmental Justice Alliance's communications strategy implementation
Center for the National Interest,https://www.hewlett.org/grants/center-for-the-national-interest-for-the-energy-innovation-reform-project-1/,"$200,000","April 14, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Energy Innovation Reform Project
MSI-US,https://www.hewlett.org/grants/msi-us-for-support-of-a-family-planning-mobile-clinic-in-senegal/,"$150,000","April 11, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of a family planning mobile clinic in Senegal
Georgetown University,https://www.hewlett.org/grants/georgetown-university-for-support-of-the-georgetown-climate-centers-state-leadership-coordination-0/,"$300,000","April 8, 2014",Environment,https://www.hewlett.org/programs/environment/,for support of the Georgetown Climate Center's state leadership coordination
American Lung Association,https://www.hewlett.org/grants/american-lung-association-for-the-public-health-campaign-for-clean-and-healthy-air-2/,"$500,000","April 1, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Public Health Campaign for Clean and Healthy Air
Reproductive Health Technologies Project,https://www.hewlett.org/grants/reproductive-health-technologies-project-for-positioning-and-capacity-analysis/,"$26,000","March 28, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for positioning and capacity analysis
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-groundswell-funds-strategic-planning/,"$15,000","March 28, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for Groundswell Fund’s strategic planning
Social and Environmental Entrepreneurs,https://www.hewlett.org/grants/social-and-environmental-entrepreneurs-for-the-east-yard-communities-for-environmental-justice-project-5/,"$125,000","March 26, 2014",Environment,https://www.hewlett.org/programs/environment/,for the East Yard Communities for Environmental Justice project
Arizona Center for Law in the Public Interest,https://www.hewlett.org/grants/arizona-center-for-law-in-the-public-interest-for-the-arizona-renewable-energy-and-energy-efficiency-projects-0/,"$60,000","March 26, 2014",Environment,https://www.hewlett.org/programs/environment/,for the Arizona renewable energy and energy efficiency projects
Exhale,https://www.hewlett.org/grants/exhale-for-fundraising-planning/,"$35,000","March 24, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for fundraising planning
Women's Action for New Directions,https://www.hewlett.org/grants/womens-action-for-new-directions-for-strategic-planning/,"$30,000","March 24, 2014",Initiatives,,for strategic planning
Arts Council Napa Valley,https://www.hewlett.org/grants/arts-council-napa-valley-for-strategic-planning/,"$30,000","March 20, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for strategic planning
Djerassi Resident Artists Program,https://www.hewlett.org/grants/djerassi-resident-artists-program-for-general-operating-support/,"$150,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Association of California Symphony Orchestras,https://www.hewlett.org/grants/association-of-california-symphony-orchestras-for-general-operating-support-1/,"$45,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Asia Society,https://www.hewlett.org/grants/asia-society-for-identifying-cultivating-and-showcasing-exemplary-schools-to-advance-deeper-learning-1/,"$50,000","March 17, 2014",Education,https://www.hewlett.org/programs/education/,"for identifying, cultivating, and showcasing exemplary schools to advance deeper learning"
Bipartisan Policy Center,https://www.hewlett.org/grants/bipartisan-policy-center-for-general-operating-support/,"$600,000","March 17, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for general operating support
University of California at San Francisco,https://www.hewlett.org/grants/university-of-california-at-san-francisco-for-support-of-the-center-for-reproductive-health-research-and-policy-0/,"$650,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Center for Reproductive Health Research and Policy
The China Institute of International Studies,https://www.hewlett.org/grants/the-china-institute-of-international-studies-for-meetings-among-u-s-and-chinese-experts-on-chinas-role-in-global-disarmament-0/,"$80,000","March 17, 2014",Initiatives,,for meetings among U.S. and Chinese experts on China's role in global disarmament
Tides Center,https://www.hewlett.org/grants/tides-center-for-the-open-contracting-partnership-project/,"$950,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Open Contracting Partnership project
Northern California Grantmakers,https://www.hewlett.org/grants/northern-california-grantmakers-for-general-operating-support-4/,"$50,000","March 17, 2014",Philanthropy,,for general operating support
KITKA,https://www.hewlett.org/grants/kitka-for-general-operating-support-1/,"$75,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Yale University,https://www.hewlett.org/grants/yale-university-for-experimental-research-on-primary-election-voter-turnout/,"$350,000","March 17, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for experimental research on primary election voter turnout
Equilibres & Populations,https://www.hewlett.org/grants/equilibres-populations-for-a-project-to-support-sexual-and-reproductive-health-advocacy-in-west-africa/,"$750,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a project to support sexual and reproductive health advocacy in West Africa
National Women's Law Center,https://www.hewlett.org/grants/national-womens-law-center-for-support-of-the-health-and-reproductive-rights-program/,"$450,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Health and Reproductive Rights program
Bread for the World Institute,https://www.hewlett.org/grants/bread-for-the-world-institute-for-general-operating-support-2/,"$420,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
University of California at San Francisco,https://www.hewlett.org/grants/university-of-california-at-san-francisco-for-testing-peer-influence-on-long-acting-reversible-contraceptive-use-in-an-online-social-community/,"$423,500","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for testing peer influence on long-acting reversible contraceptive use in an online social community
San Francisco Boys Chorus,https://www.hewlett.org/grants/san-francisco-boys-chorus-for-general-operating-support-1/,"$50,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Center for Investigative Reporting,https://www.hewlett.org/grants/center-for-investigative-reporting-for-general-operating-support-0/,"$400,000","March 17, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,for general operating support
University of Denver,https://www.hewlett.org/grants/university-of-denver-for-the-educating-tomorrows-lawyers-initiative/,"$150,000","March 17, 2014",Special Projects,https://www.hewlett.org/programs/special-projects/,for the Educating Tomorrow's Lawyers initiative
Brookings Institution,https://www.hewlett.org/grants/brookings-institution-for-support-of-the-center-for-universal-education-0/,"$2,000,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Center for Universal Education
San Francisco Contemporary Music Players,https://www.hewlett.org/grants/san-francisco-contemporary-music-players-for-general-operating-support-2/,"$60,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
High Tech High Foundation,https://www.hewlett.org/grants/high-tech-high-foundation-for-identifying-cultivating-and-showcasing-exemplary-schools-to-advance-deeper-learning-1/,"$50,000","March 17, 2014",Education,https://www.hewlett.org/programs/education/,"for identifying, cultivating, and showcasing exemplary schools to advance deeper learning"
Bread and Roses Benefit Agency,https://www.hewlett.org/grants/bread-and-roses-benefit-agency-for-general-operating-support-0/,"$120,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Bipartisan Policy Center,https://www.hewlett.org/grants/bipartisan-policy-center-for-general-operating-support/,"$600,000","March 17, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for general operating support
University of California at San Francisco,https://www.hewlett.org/grants/university-of-california-at-san-francisco-for-support-of-the-center-for-reproductive-health-research-and-policy-0/,"$650,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Center for Reproductive Health Research and Policy
The China Institute of International Studies,https://www.hewlett.org/grants/the-china-institute-of-international-studies-for-meetings-among-u-s-and-chinese-experts-on-chinas-role-in-global-disarmament-0/,"$80,000","March 17, 2014",Initiatives,,for meetings among U.S. and Chinese experts on China's role in global disarmament
Tides Center,https://www.hewlett.org/grants/tides-center-for-the-open-contracting-partnership-project/,"$950,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Open Contracting Partnership project
Northern California Grantmakers,https://www.hewlett.org/grants/northern-california-grantmakers-for-general-operating-support-4/,"$50,000","March 17, 2014",Philanthropy,,for general operating support
KITKA,https://www.hewlett.org/grants/kitka-for-general-operating-support-1/,"$75,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Yale University,https://www.hewlett.org/grants/yale-university-for-experimental-research-on-primary-election-voter-turnout/,"$350,000","March 17, 2014",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for experimental research on primary election voter turnout
Equilibres & Populations,https://www.hewlett.org/grants/equilibres-populations-for-a-project-to-support-sexual-and-reproductive-health-advocacy-in-west-africa/,"$750,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a project to support sexual and reproductive health advocacy in West Africa
Western Conservation Foundation,https://www.hewlett.org/grants/western-conservation-foundation-for-general-operating-support-5/,"$2,500,000","March 17, 2014",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Carmel Bach Festival,https://www.hewlett.org/grants/carmel-bach-festival-for-general-operating-support-1/,"$150,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
High Tech High Foundation,https://www.hewlett.org/grants/high-tech-high-foundation-for-identifying-cultivating-and-showcasing-exemplary-schools-to-advance-deeper-learning-1/,"$50,000","March 17, 2014",Education,https://www.hewlett.org/programs/education/,"for identifying, cultivating, and showcasing exemplary schools to advance deeper learning"
Bread and Roses Benefit Agency,https://www.hewlett.org/grants/bread-and-roses-benefit-agency-for-general-operating-support-0/,"$120,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Monterey County Symphony,https://www.hewlett.org/grants/monterey-county-symphony-for-general-operating-support-1/,"$60,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Exhale,https://www.hewlett.org/grants/exhale-for-general-operating-support/,"$200,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
University of California at Los Angeles,https://www.hewlett.org/grants/university-of-california-at-los-angeles-for-a-database-and-analysis-of-policies-affecting-womens-economic-empowerment/,"$1,100,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a database and analysis of policies affecting women's economic empowerment
Indiana University Foundation,https://www.hewlett.org/grants/indiana-university-foundation-for-the-center-on-philanthropy-at-indiana-university-2/,"$20,000","March 17, 2014",Philanthropy,,for the Center on Philanthropy at Indiana University
Djerassi Resident Artists Program,https://www.hewlett.org/grants/djerassi-resident-artists-program-for-general-operating-support/,"$150,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
San Francisco Jazz Organization,https://www.hewlett.org/grants/san-francisco-jazz-organization-for-general-operating-support-0/,"$375,000","March 17, 2014",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Council for a Strong America,https://www.hewlett.org/grants/council-for-a-strong-america-for-mobilizing-business-and-community-leaders-to-advocate-for-deeper-learning/,"$300,000","March 17, 2014",Education,https://www.hewlett.org/programs/education/,for mobilizing business and community leaders to advocate for deeper learning
UK Citizens Online Democracy,https://www.hewlett.org/grants/uk-citizens-online-democracy-for-the-mysociety-research-project/,"$750,000","March 17, 2014",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the mySociety research project
Tides Center,https://www.hewlett.org/grants/tides-center-for-the-emerging-practitioners-in-philanthropy-project-1/,"$12,500","March 17, 2014",Philanthropy,,for the Emerging Practitioners in Philanthropy project
